Account_Name,Oracle Number,Record_Type,Account EE,Max MAU,12 Month Revenue,Account Segment,Customer Category,InsiderStatus,DIVISION,DnB_Market,DnB_Industry,First_Account_Contract,Account_Number
TETRA TECHNOLOGIES INC.,6182766,US/Canada,"1,121","1,123","$450,030",Mid-market,Existing,,MFG,OIL-GAS EXTRACT,Crude petroleum and natural gas,10/10/07,AC-00441083
"THE BUCKLE, INC.",6196317,US/Canada,"10,372","18,087","$1,469,262",Enterprise,Existing,,RETAIL,APPAREL-ACCY,Family clothing stores,05/24/19,AC-00447043
THE CADILLAC FAIRVIEW CORPORATION LIMITED,6195066,US/Canada,"1,580","1,482","$357,376",Enterprise,Existing,,S&D - FIN,INSUR-BROKERS,"Shopping center, property operation only",05/06/13,AC-00607996
THE CHIMES INC,6196522,US/Canada,"3,253","4,784","$1,469,750",Enterprise,Existing,No,GOVT-EDUC,SOCIAL SERVICES,Vocational training agency,10/10/07,AC-00503311
THE DONOHOE COMPANIES INC,6182955,US/Canada,"1,551",987,"$754,910",Upper Mid-market,Existing,,S&D - FIN,INSUR-BROKERS,Real estate agents and managers,04/03/18,AC-00581738
The George Washington University Medical Faculty Associates,6197415,US/Canada,"1,516","1,510","$625,173",Upper Enterprise,Existing,,HEALTHCARE,HEALTH SERVICES,"Physical medicine, physician/surgeon",07/07/11,AC-04982266
The Gorman-Rupp Company,6197451,US/Canada,"1,311","1,116","$395,350",Mid-market,Existing,,MFG,INDL MACHINERY,"Pumps and pumping equipment, nec",08/29/08,AC-05473474
The Governing Council of the Salvation Army in Canada,6197024,US/Canada,"13,000","6,967","$155,442",Enterprise,Existing,,GOVT-EDUC,SOCIAL SERVICES,"Fund raising organization, non-fee basis",01/01/16,AC-00623915
The Kendal Corporation,6071669,US/Canada,"2,600","1,731","$682,000",Enterprise,Existing,No,S&D - FIN,INSUR-BROKERS,Retirement hotel operation,02/18/04,AC-00636524
The Long & Foster Companies Inc,6196807,US/Canada,"2,574",11,"$11,474",Upper Enterprise,Existing,,S&D - FIN,INSUR-BROKERS,Real estate brokers and agents,10/10/07,AC-00564286
THE MLB NETWORK LLC,6186986,US/Canada,"1,183","1,445","$424,962",Mid-market,Existing,,S&D,COMMUNICATION,Television broadcasting stations,09/12/08,AC-05101501
THE NEW YORK FOUNDLING HOSPITAL,6174874,US/Canada,"2,800","2,589","$921,472",Enterprise,Existing,,GOVT-EDUC,SOCIAL SERVICES,Group foster home,06/23/15,AC-00406511
THE PROCACCIANTI GROUP LLC,6196529,US/Canada,"6,967","2,745","$793,305",Upper Enterprise,Existing,,S&D,ENG-MGMT SVCS,Hotel or motel management,06/01/09,AC-00504528
THE SALVATION ARMY,6197291,US/Canada,"10,913","5,241","$1,922,170",Upper Enterprise,Existing,Yes  Active,S&D,MEMBERSHIP ORGS,Nonchurch religious organizations,09/20/08,AC-03712228
"THE SALVATION ARMY, A NEW YORK CORPORATION",6182096,US/Canada,"10,000","2,507","$565,895",Upper Enterprise,Existing,,S&D,MEMBERSHIP ORGS,Nonchurch religious organizations,06/30/17,AC-00447051
THE UNIVERSITY OF PHOENIX INC,6186293,US/Canada,"5,923","4,469","$1,444,936",Enterprise,Existing,No,PUBLIC SECTOR - HE,HIGHER EDUC,University,04/17/13,AC-00475239
