Product,Flag Key,Created Date,Archived,Enabled In Prod,ukg-expiry-date,Rules Details,Fallthrough Variation,Variations,Default On Variation,Default Off Variation,jira issues,Description
WFM-Classic,allow-protime-wfm-classic-report-stored-xss-protection,1/9/26 14:36,FALSE,TRUE,12/31/26,,Allowed (true),"name=Allowed, value=true, description=Allowed stored XSS protection for WFM Classic reports; name=Disallowed, value=false, description=Disallowed stored XSS protection for WFM Classic reports",Allowed (true),Disallowed (false),PS-694364,Allow stored XSS protection for WFM Classic reports
WFM-Classic,allow-protime-wfm-classic-reporting-initial-balance-gap-fix,5/25/26 7:40,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Enable the initial balance gap fix - uses pgpa1.valid_to for gap detection; name=Disabled, value=false, description=Disable the initial balance gap fix - uses original next_valid_from for gap detection",Enabled (true),Disabled (false),PS-802516,Feature Flag to fix initial balance gap detection by using pgpa1.valid_to instead of next_valid_from in the HAVING clause of the accrual balance queries
WFM-Classic,allow-protime-wfm-classic-reporting-pbj-report-changes,4/27/26 9:43,FALSE,FALSE,12/31/26,,Allowed (true),"name=Allowed, value=true, description=New PBJ specification version is active with work hour trimming enabled; name=Disallowed, value=false, description=Using current PBJ specification without work hour trimming",Allowed (true),Disallowed (false),PS-818883,Feature Flag to add new specification version for PBJ Report which will allow trimming of work hours
WFM-Classic,allow-protime-wfm-classic-rounding-off-balances-manual-transactions,3/30/26 10:17,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To manage rounding off balances issue for decimals value ending with 3 in manual transactions.; name=Disabled, value=false, description=Feature Flag To manage rounding off balances issue for decimals value ending with 3 in manual transactions.",Enabled (true),Disabled (false),PS-707156,Feature Flag To manage rounding “off balances issue for decimals value ending with 3 in manual transactions.
WFM-Classic,allow-protime-wfm-classic-sort-fix,3/31/26 9:59,FALSE,TRUE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To enable sorting of certain screens on TOA Web.; name=Disabled, value=false, description=Feature Flag To disable sorting of certain screens on TOA Web.",Enabled (true),Disabled (false),PS-626175,Feature Flag To manage sorting of certain screens on TOA Web.
WFM-Classic,allow-protime-wfm-classic-sticky-filter,4/17/26 12:49,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To enable Sticky Filter.; name=Disabled, value=false, description=Feature Flag To disable Sticky Filter.",Enabled (true),Disabled (false),PS-809651,Feature Flag To check Sticky Filter.
WFM-Classic,allow-protime-wfm-classic-team-member-pagination-fix,5/20/26 11:00,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature flag to enable the pagination fix for employee number filtering on My Team and Request Administration pages.; name=Disabled, value=false, description=Feature flag to disable the pagination fix for employee number filtering on My Team and Request Administration pages.",Enabled (true),Disabled (false),PS-891427,Feature flag to fix pagination on the My Team and Request Administration pages - aligns employee number filter to use prefix match in count queries.
WFM-Classic,allow-protime-wfm-classic-teamtimesheet-totals,5/13/26 10:37,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To Run Totals As Per Pagination.; name=Disabled, value=false, description=Feature Flag To Run Totals As Per Total Personas.",Enabled (true),Disabled (false),PS-810716,Feature Flag To call API Teamtimesheet totals based on pagination.
WFM-Classic,allow-protime-wfm-classic-time-classic-holiday-eligibility-payrule,5/4/26 9:48,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Holiday eligibility uses correctly anchored complete week boundaries, excluding time worked in the current week containing the holiday; name=Disallowed, value=false, description=Holiday eligibility uses previous behaviour, including time worked in the current week up to the holiday date",Allowed (true),Disallowed (false),PS-825326,"Feature flag to fix holiday eligibility lookback/lookforward window to correctly anchor to complete week boundaries based on the configured week start day, excluding time worked in the current week containing the holiday"
WFM-Classic,allow-protime-wfmclassic-time-off-negativebalance,5/15/26 11:29,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Time off Request with negative balance is not allowed; name=Disallowed, value=false, description=Time off Request is allowed with negative balance",Allowed (true),Disallowed (false),PS-817907,Feature Flag to fix Time off Request Negative Approval in TOA
